"loan_amnt";"funded_amnt";"int_rate";"grade";"emp_length";"home_ownership";"annual_inc";"loan_status";"purpose";"dti";"loan_status_1";"int_rate_grp";"emp_len_grp"
9;9;11;"B";"2 years";"RENT";35;"Charged Off";"debt_consolidation";6,38;"default_new";"Medium";"Junior"
35;33,5;21;"F";"4 years";"MORTGAGE";85;"Charged Off";"debt_consolidation";16,56;"default_new";"High";"Junior"
20;20;13;"C";"10+ years";"RENT";40;"Charged Off";"debt_consolidation";23,31;"default_new";"Medium";"Senior"
20;20;15;"C";"10+ years";"RENT";110;"Current";"debt_consolidation";18,63;"current_new";"Medium";"Senior"
28,2;28,2;19;"E";"10+ years";"MORTGAGE";72;"Current";"home_improvement";22,88;"current_new";"High";"Senior"
15;15;20;"E";"6 years";"MORTGAGE";95;"Current";"other";15,15;"current_new";"High";"Mid-level"
5;5;16;"D";"n/a";"RENT";62;"Charged Off";"credit_card";7,39;"default_new";"Medium";"Junior"
12;12;19;"E";"10+ years";"RENT";65;"Charged Off";"debt_consolidation";14,38;"default_new";"High";"Senior"
12,6;12,6;19;"E";"10+ years";"MORTGAGE";37,2096;"Current";"debt_consolidation";12,67;"current_new";"High";"Senior"
25;25;18;"D";"10+ years";"MORTGAGE";46,52088;"Current";"debt_consolidation";9,91;"current_new";"Medium";"Senior"
27,7;27,7;20;"E";"6 years";"MORTGAGE";60;"Current";"small_business";0,32;"current_new";"High";"Mid-level"
16;16;22;"F";"1 year";"MORTGAGE";120;"Charged Off";"other";21,16;"default_new";"High";"Junior"
15,8;15,8;18;"D";"4 years";"RENT";83;"Current";"debt_consolidation";13,1;"current_new";"Medium";"Junior"
18;18;19;"E";"6 years";"MORTGAGE";55;"Current";"debt_consolidation";13,07;"current_new";"High";"Mid-level"
17,625;17,625;20;"E";"6 years";"OWN";36;"Charged Off";"debt_consolidation";19,17;"default_new";"High";"Mid-level"
13,2;13,2;14;"C";"7 years";"RENT";47;"Current";"credit_card";12,61;"current_new";"Medium";"Mid-level"
24;24;12;"B";"3 years";"MORTGAGE";85;"Charged Off";"credit_card";25,54;"default_new";"Medium";"Junior"
3,2;3,2;7;"A";"n/a";"MORTGAGE";48;"Charged Off";"debt_consolidation";27,15;"default_new";"Low";"Junior"
10;10;16;"D";"6 years";"MORTGAGE";80;"Charged Off";"debt_consolidation";14,01;"default_new";"Medium";"Mid-level"
1;1;19;"E";"2 years";"RENT";38;"Charged Off";"debt_consolidation";15,54;"default_new";"High";"Junior"
19,4;19,4;20;"E";"10+ years";"RENT";65;"Charged Off";"small_business";4,69;"default_new";"High";"Senior"
27;27;12;"B";"7 years";"MORTGAGE";136,5;"Current";"credit_card";12,84;"current_new";"Medium";"Mid-level"
22;22;20;"F";"4 years";"RENT";63;"Charged Off";"debt_consolidation";6,27;"default_new";"High";"Junior"
12;12;14;"C";"7 years";"RENT";33;"Current";"debt_consolidation";13,09;"current_new";"Medium";"Mid-level"
35;33,5;22;"F";"< 1 year";"MORTGAGE";100;"Charged Off";"debt_consolidation";15,84;"default_new";"High";"Junior"
3;3;16;"D";"4 years";"RENT";59,1;"Charged Off";"car";12,87;"default_new";"Medium";"Junior"
5,25;5,25;17;"D";"10+ years";"MORTGAGE";59;"Current";"credit_card";23,45;"current_new";"Medium";"Senior"
2,5;2,5;12;"B";"1 year";"OWN";33,84;"Current";"car";14,82;"current_new";"Medium";"Junior"
12,25;12,25;11;"B";"10+ years";"MORTGAGE";63,996;"Current";"debt_consolidation";23,76;"current_new";"Medium";"Senior"
24,25;24,25;19;"E";"10+ years";"RENT";54,257;"Current";"debt_consolidation";24;"current_new";"High";"Senior"
22;22;18;"D";"5 years";"MORTGAGE";92;"Current";"other";19,64;"current_new";"Medium";"Mid-level"
32;32;20;"F";"10+ years";"OWN";100;"Current";"car";18,84;"current_new";"High";"Senior"
1;1;16;"D";"1 year";"RENT";14,4;"Charged Off";"debt_consolidation";15;"default_new";"Medium";"Junior"
15;15;14;"C";"4 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";8,88;"default_new";"Medium";"Junior"
25;25;15;"C";"10+ years";"MORTGAGE";136,5;"Current";"debt_consolidation";9,88;"current_new";"Medium";"Senior"
8;8;10;"B";"< 1 year";"RENT";42,816;"Charged Off";"car";1,88;"default_new";"Low";"Junior"
24;24;12;"B";"2 years";"MORTGAGE";136,5;"Current";"debt_consolidation";6,77;"current_new";"Medium";"Junior"
17;17;19;"E";"7 years";"RENT";56;"Charged Off";"debt_consolidation";17,27;"default_new";"High";"Mid-level"
28,625;28,625;22;"F";"10+ years";"MORTGAGE";72;"Charged Off";"debt_consolidation";24,6;"default_new";"High";"Senior"
14;14;17;"D";"8 years";"RENT";43;"Charged Off";"debt_consolidation";17,97;"default_new";"Medium";"Mid-level"
5,8;5,8;17;"D";"2 years";"RENT";30;"Charged Off";"house";1;"default_new";"Medium";"Junior"
1;1;16;"D";"< 1 year";"OWN";17,28;"Charged Off";"debt_consolidation";22,08;"default_new";"Medium";"Junior"
12,5;12,5;16;"D";"6 years";"RENT";35;"Charged Off";"debt_consolidation";19,95;"default_new";"Medium";"Mid-level"
20;20;20;"F";"10+ years";"MORTGAGE";90;"Charged Off";"debt_consolidation";16,23;"default_new";"High";"Senior"
25;25;19;"E";"2 years";"RENT";49,96;"Charged Off";"debt_consolidation";12,08;"default_new";"High";"Junior"
29,1;29,1;10;"B";"6 years";"MORTGAGE";83,496;"Current";"debt_consolidation";14;"current_new";"Low";"Mid-level"
7;7;14;"C";"6 years";"RENT";55,9;"Charged Off";"other";24,58;"default_new";"Medium";"Mid-level"
17;17;18;"E";"7 years";"MORTGAGE";35;"Charged Off";"credit_card";13,17;"default_new";"Medium";"Mid-level"
15,6;15,6;19;"E";"5 years";"OWN";55;"Charged Off";"debt_consolidation";22,78;"default_new";"High";"Mid-level"
21,6;21,6;18;"E";"6 years";"RENT";92,001;"Charged Off";"debt_consolidation";17,67;"default_new";"Medium";"Mid-level"
10;10;7;"A";"5 years";"OWN";35;"Charged Off";"debt_consolidation";17,07;"default_new";"Low";"Mid-level"
15;15;15;"C";"8 years";"RENT";38;"Charged Off";"debt_consolidation";18,98;"default_new";"Medium";"Mid-level"
6,4;6,4;17;"D";"2 years";"RENT";55,2;"Charged Off";"debt_consolidation";6,93;"default_new";"Medium";"Junior"
18;18;7;"A";"10+ years";"MORTGAGE";80;"Charged Off";"credit_card";15;"default_new";"Low";"Senior"
25;25;16;"D";"10+ years";"MORTGAGE";55;"Charged Off";"debt_consolidation";20,79;"default_new";"Medium";"Senior"
15;15;15;"C";"10+ years";"RENT";58;"Current";"credit_card";23,75;"current_new";"Medium";"Senior"
2;2;16;"D";"1 year";"RENT";30,972;"Charged Off";"other";15,61;"default_new";"Medium";"Junior"
12,7;12,7;11;"B";"5 years";"RENT";60;"Charged Off";"debt_consolidation";6,04;"default_new";"Medium";"Mid-level"
6,6;6,6;19;"E";"3 years";"RENT";72;"Charged Off";"debt_consolidation";15,87;"default_new";"High";"Junior"
18;18;19;"E";"10+ years";"MORTGAGE";136,5;"Current";"home_improvement";10,31;"current_new";"High";"Senior"
22,25;22,25;21;"F";"2 years";"OWN";56;"Charged Off";"credit_card";21,9;"default_new";"High";"Junior"
24;24;18;"E";"4 years";"OWN";125;"Charged Off";"debt_consolidation";22,49;"default_new";"Medium";"Junior"
23;23;12;"B";"10+ years";"MORTGAGE";80;"Current";"debt_consolidation";29,83;"current_new";"Medium";"Senior"
15;15;18;"D";"10+ years";"MORTGAGE";65;"Charged Off";"debt_consolidation";10,45;"default_new";"Medium";"Senior"
21;21;16;"D";"10+ years";"RENT";53;"Current";"debt_consolidation";14,72;"current_new";"Medium";"Senior"
15;15;17;"D";"10+ years";"RENT";41;"Current";"credit_card";16,13;"current_new";"Medium";"Senior"
12;12;14;"C";"10+ years";"RENT";57,5;"Charged Off";"debt_consolidation";13,75;"default_new";"Medium";"Senior"
6,4;6,4;19;"E";"3 years";"RENT";21,996;"Current";"other";6,06;"current_new";"High";"Junior"
14,3;14,3;11;"B";"10+ years";"RENT";30;"Current";"credit_card";26,96;"current_new";"Medium";"Senior"
33;33;18;"E";"< 1 year";"MORTGAGE";115;"Charged Off";"debt_consolidation";7,11;"default_new";"Medium";"Junior"
17,625;17,625;17;"D";"10+ years";"RENT";43;"Current";"credit_card";27,27;"current_new";"Medium";"Senior"
10;10;16;"D";"10+ years";"MORTGAGE";40;"Charged Off";"debt_consolidation";9,57;"default_new";"Medium";"Senior"
18;18;7;"A";"4 years";"RENT";50;"Charged Off";"debt_consolidation";15,07;"default_new";"Low";"Junior"
5;5;11;"B";"5 years";"MORTGAGE";84;"Current";"other";7,81;"current_new";"Medium";"Mid-level"
15;15;12;"B";"5 years";"RENT";60;"Charged Off";"debt_consolidation";4,68;"default_new";"Medium";"Mid-level"
14;14;8;"A";"1 year";"MORTGAGE";68,124;"Current";"debt_consolidation";11,45;"current_new";"Low";"Junior"
7,5;7,5;12;"B";"9 years";"RENT";40;"Charged Off";"debt_consolidation";15,21;"default_new";"Medium";"Senior"
8;8;19;"E";"10+ years";"RENT";108;"Charged Off";"other";17,3;"default_new";"High";"Senior"
20;20;19;"E";"1 year";"RENT";41,6;"Charged Off";"debt_consolidation";15,35;"default_new";"High";"Junior"
16,75;16,75;12;"B";"5 years";"MORTGAGE";42;"Current";"debt_consolidation";23,83;"current_new";"Medium";"Mid-level"
4;4;11;"B";"6 years";"RENT";32,99373;"Charged Off";"credit_card";12,37;"default_new";"Medium";"Mid-level"
13,2;13,2;17;"D";"9 years";"MORTGAGE";80;"Current";"credit_card";15,33;"current_new";"Medium";"Senior"
16,25;16,25;12;"B";"5 years";"RENT";53;"Charged Off";"credit_card";15,94;"default_new";"Medium";"Mid-level"
8,3;8,3;8;"A";"< 1 year";"RENT";30;"Charged Off";"debt_consolidation";3,8;"default_new";"Low";"Junior"
7;7;9;"B";"n/a";"RENT";22,776;"Charged Off";"other";12,22;"default_new";"Low";"Junior"
35;33,5;19;"E";"7 years";"MORTGAGE";136,5;"Charged Off";"home_improvement";11,2;"default_new";"High";"Mid-level"
18;18;17;"D";"7 years";"RENT";42;"Charged Off";"debt_consolidation";19,83;"default_new";"Medium";"Mid-level"
25;25;17;"D";"3 years";"RENT";60;"Charged Off";"debt_consolidation";5,68;"default_new";"Medium";"Junior"
30;30;20;"F";"5 years";"MORTGAGE";100;"Charged Off";"debt_consolidation";24,14;"default_new";"High";"Mid-level"
35;33,5;18;"E";"10+ years";"RENT";85,602;"Charged Off";"debt_consolidation";20,66;"default_new";"Medium";"Senior"
12;12;15;"C";"10+ years";"MORTGAGE";54;"Charged Off";"debt_consolidation";12,47;"default_new";"Medium";"Senior"
35;33,5;19;"E";"10+ years";"MORTGAGE";76,51982;"Current";"debt_consolidation";20,89;"current_new";"High";"Senior"
18,725;18,725;17;"D";"9 years";"MORTGAGE";52;"Charged Off";"debt_consolidation";23,35;"default_new";"Medium";"Senior"
16,5;16,5;11;"B";"5 years";"MORTGAGE";33;"Charged Off";"small_business";3,13;"default_new";"Medium";"Mid-level"
8;8;21;"F";"4 years";"RENT";45;"Current";"other";6,69;"current_new";"High";"Junior"
35;33,5;19;"E";"10+ years";"OWN";136,5;"Current";"credit_card";18,11;"current_new";"High";"Senior"
8,4;8,4;8;"A";"4 years";"MORTGAGE";65,508;"Current";"debt_consolidation";7,44;"current_new";"Low";"Junior"
19,8;19,8;21;"F";"10+ years";"OWN";136,5;"Current";"home_improvement";1,61;"current_new";"High";"Senior"
20;20;12;"B";"7 years";"RENT";40;"Current";"debt_consolidation";15,48;"current_new";"Medium";"Mid-level"
25;25;17;"D";"10+ years";"RENT";50,4;"Current";"debt_consolidation";21,07;"current_new";"Medium";"Senior"
14;14;13;"C";"10+ years";"MORTGAGE";67;"Current";"credit_card";24,73;"current_new";"Medium";"Senior"
12,8;12,8;13;"C";"4 years";"RENT";45;"Current";"debt_consolidation";16,59;"current_new";"Medium";"Junior"
8;8;7;"A";"2 years";"RENT";42;"Charged Off";"debt_consolidation";7,71;"default_new";"Low";"Junior"
21,2;21,2;12;"B";"10+ years";"MORTGAGE";60;"Charged Off";"small_business";21,18;"default_new";"Medium";"Senior"
21,5;21,5;19;"E";"4 years";"RENT";43;"Charged Off";"debt_consolidation";18,28;"default_new";"High";"Junior"
5;5;6;"A";"10+ years";"RENT";37,513;"Charged Off";"debt_consolidation";10,84;"default_new";"Low";"Senior"
14;14;17;"D";"< 1 year";"MORTGAGE";100;"Current";"car";10,01;"current_new";"Medium";"Junior"
7,2;7,2;13;"C";"< 1 year";"MORTGAGE";114;"Charged Off";"debt_consolidation";12,12;"default_new";"Medium";"Junior"
31;31;12;"B";"10+ years";"MORTGAGE";62,4;"Current";"debt_consolidation";18,31;"current_new";"Medium";"Senior"
21;21;20;"F";"2 years";"RENT";71,04;"Charged Off";"debt_consolidation";6,52;"default_new";"High";"Junior"
10;10;14;"C";"6 years";"MORTGAGE";60;"Charged Off";"debt_consolidation";23,1;"default_new";"Medium";"Mid-level"
12,9;12,9;18;"D";"1 year";"RENT";75;"Current";"debt_consolidation";21,79;"current_new";"Medium";"Junior"
22;22;17;"D";"10+ years";"RENT";84;"Current";"debt_consolidation";13,8;"current_new";"Medium";"Senior"
25;25;11;"B";"10+ years";"MORTGAGE";60;"Current";"house";13,38;"current_new";"Medium";"Senior"
7,75;7,75;14;"C";"5 years";"RENT";26,4;"Charged Off";"debt_consolidation";17,34;"default_new";"Medium";"Mid-level"
18,825;18,825;22;"F";"4 years";"RENT";50;"Charged Off";"debt_consolidation";22,42;"default_new";"High";"Junior"
10;10;7;"A";"2 years";"RENT";80;"Charged Off";"debt_consolidation";19,56;"default_new";"Low";"Junior"
20,45;20,45;18;"E";"< 1 year";"RENT";52,008;"Charged Off";"debt_consolidation";23,14;"default_new";"Medium";"Junior"
12;12;14;"C";"3 years";"MORTGAGE";40;"Charged Off";"credit_card";19,77;"default_new";"Medium";"Junior"
7;7;12;"B";"n/a";"MORTGAGE";56,4;"Current";"debt_consolidation";19,79;"current_new";"Medium";"Junior"
24;24;17;"D";"3 years";"RENT";125,004;"Current";"debt_consolidation";5,14;"current_new";"Medium";"Junior"
7;7;10;"B";"2 years";"RENT";36,475;"Charged Off";"debt_consolidation";21,06;"default_new";"Low";"Junior"
15;15;17;"D";"< 1 year";"RENT";62;"Current";"debt_consolidation";22,16;"current_new";"Medium";"Junior"
23,6;23,6;18;"E";"10+ years";"OWN";60;"Current";"debt_consolidation";24,36;"current_new";"Medium";"Senior"
24;24;18;"D";"10+ years";"RENT";86,779;"Charged Off";"wedding";18,35;"default_new";"Medium";"Senior"
18;18;19;"E";"10+ years";"MORTGAGE";75;"Charged Off";"debt_consolidation";17,57;"default_new";"High";"Senior"
16;16;15;"C";"7 years";"MORTGAGE";61;"Current";"debt_consolidation";20,52;"current_new";"Medium";"Mid-level"
28;28;20;"F";"2 years";"RENT";80;"Current";"debt_consolidation";18,77;"current_new";"High";"Junior"
35;33,5;18;"E";"3 years";"RENT";136,5;"Current";"credit_card";12;"current_new";"Medium";"Junior"
5;5;13;"C";"4 years";"OWN";36;"Charged Off";"wedding";14,33;"default_new";"Medium";"Junior"
1,3;1,3;14;"C";"4 years";"RENT";60;"Charged Off";"moving";7,8;"default_new";"Medium";"Junior"
15;15;15;"C";"10+ years";"RENT";48;"Charged Off";"debt_consolidation";18,63;"default_new";"Medium";"Senior"
6;6;15;"C";"10+ years";"MORTGAGE";66;"Charged Off";"other";23,38;"default_new";"Medium";"Senior"
20;20;16;"D";"10+ years";"RENT";110;"Current";"debt_consolidation";5,5;"current_new";"Medium";"Senior"
6,625;6,625;12;"B";"3 years";"RENT";24,9473;"Charged Off";"credit_card";21,55;"default_new";"Medium";"Junior"
35;33,5;18;"E";"6 years";"MORTGAGE";136,5;"Current";"debt_consolidation";6,17;"current_new";"Medium";"Mid-level"
17,4;17,4;14;"C";"4 years";"MORTGAGE";43;"Charged Off";"debt_consolidation";11,25;"default_new";"Medium";"Junior"
14;14;13;"C";"5 years";"OWN";30;"Current";"debt_consolidation";19,44;"current_new";"Medium";"Mid-level"
1,1;1,1;14;"C";"5 years";"MORTGAGE";36;"Charged Off";"vacation";12,2;"default_new";"Medium";"Mid-level"
15;15;18;"E";"6 years";"OWN";50;"Charged Off";"credit_card";13,34;"default_new";"Medium";"Mid-level"
26;26;19;"E";"10+ years";"RENT";72;"Charged Off";"debt_consolidation";22,22;"default_new";"High";"Senior"
35;33,5;13;"C";"6 years";"RENT";98;"Charged Off";"debt_consolidation";14,55;"default_new";"Medium";"Mid-level"
5,5;5,5;19;"E";"8 years";"RENT";25;"Charged Off";"other";10,56;"default_new";"High";"Mid-level"
28;28;16;"D";"10+ years";"OWN";76;"Charged Off";"credit_card";13,78;"default_new";"Medium";"Senior"
10;10;11;"B";"10+ years";"RENT";60;"Charged Off";"credit_card";19,92;"default_new";"Medium";"Senior"
7;7;7;"A";"10+ years";"MORTGAGE";47;"Charged Off";"credit_card";14,37;"default_new";"Low";"Senior"
12;12;13;"C";"3 years";"OWN";52;"Current";"debt_consolidation";21,42;"current_new";"Medium";"Junior"
21;21;21;"F";"10+ years";"MORTGAGE";109,992;"Current";"other";10,89;"current_new";"High";"Senior"
35;33,5;22;"F";"10+ years";"MORTGAGE";65;"Charged Off";"debt_consolidation";12,37;"default_new";"High";"Senior"
1,2;1,2;18;"D";"4 years";"RENT";20,4;"Charged Off";"other";24,12;"default_new";"Medium";"Junior"
20;20;17;"D";"1 year";"OWN";86,124;"Charged Off";"debt_consolidation";17,6;"default_new";"Medium";"Junior"
5;5;14;"C";"< 1 year";"RENT";24;"Charged Off";"other";1,75;"default_new";"Medium";"Junior"
5,4;5,4;16;"D";"1 year";"RENT";32;"Charged Off";"medical";20,03;"default_new";"Medium";"Junior"
12;12;19;"E";"6 years";"RENT";36,5;"Charged Off";"debt_consolidation";22,22;"default_new";"High";"Mid-level"
5,05;5,05;21;"F";"10+ years";"MORTGAGE";67,51764;"Charged Off";"other";10,45;"default_new";"High";"Senior"
12;12;8;"A";"10+ years";"MORTGAGE";70;"Charged Off";"debt_consolidation";9,65;"default_new";"Low";"Senior"
20;20;14;"C";"10+ years";"MORTGAGE";60;"Charged Off";"debt_consolidation";7,42;"default_new";"Medium";"Senior"
19;19;20;"E";"10+ years";"MORTGAGE";60;"Charged Off";"debt_consolidation";17,24;"default_new";"High";"Senior"
10;10;15;"C";"9 years";"RENT";51;"Charged Off";"credit_card";9,39;"default_new";"Medium";"Senior"
26,375;26,375;17;"D";"10+ years";"MORTGAGE";136,5;"Current";"debt_consolidation";22,66;"current_new";"Medium";"Senior"
12,6;12,6;20;"E";"6 years";"MORTGAGE";65;"Charged Off";"credit_card";20,05;"default_new";"High";"Mid-level"
12,8;12,8;12;"B";"4 years";"RENT";38;"Charged Off";"credit_card";22,58;"default_new";"Medium";"Junior"
26,3;26,3;23;"G";"< 1 year";"MORTGAGE";65;"Charged Off";"credit_card";15,06;"default_new";"High";"Junior"
18,8;18,8;20;"F";"10+ years";"RENT";56,791;"Charged Off";"debt_consolidation";14,11;"default_new";"High";"Senior"
3,125;3,125;21;"F";"n/a";"OWN";9,96;"Current";"other";13,01;"current_new";"High";"Junior"
8;8;9;"B";"4 years";"RENT";47;"Charged Off";"debt_consolidation";22,24;"default_new";"Low";"Junior"
25;25;19;"E";"2 years";"MORTGAGE";87;"Charged Off";"debt_consolidation";22,25;"default_new";"High";"Junior"
15;15;15;"C";"8 years";"MORTGAGE";90;"Current";"debt_consolidation";14,35;"current_new";"Medium";"Mid-level"
19,2;19,2;18;"D";"4 years";"RENT";45;"In Grace Period";"debt_consolidation";15,2;"current_new";"Medium";"Junior"
18,8;18,8;13;"C";"10+ years";"MORTGAGE";58;"Current";"debt_consolidation";23,63;"current_new";"Medium";"Senior"
20;20;18;"D";"10+ years";"MORTGAGE";51,4;"Charged Off";"debt_consolidation";11,49;"default_new";"Medium";"Senior"
9,75;9,75;17;"D";"4 years";"RENT";21,6;"Charged Off";"debt_consolidation";8,56;"default_new";"Medium";"Junior"
35;33,5;22;"F";"10+ years";"RENT";90;"Current";"debt_consolidation";16,36;"current_new";"High";"Senior"
7;7;12;"B";"7 years";"MORTGAGE";54;"Charged Off";"credit_card";12,84;"default_new";"Medium";"Mid-level"
14,675;14,675;17;"D";"6 years";"RENT";34,5;"Current";"debt_consolidation";24,52;"current_new";"Medium";"Mid-level"
14,4;14,4;12;"B";"7 years";"RENT";75;"Charged Off";"debt_consolidation";16,06;"default_new";"Medium";"Mid-level"
28;28;11;"B";"10+ years";"MORTGAGE";75;"Current";"small_business";6,16;"current_new";"Medium";"Senior"
15;15;7;"A";"9 years";"MORTGAGE";31;"Charged Off";"debt_consolidation";9,83;"default_new";"Low";"Senior"
15;15;21;"F";"2 years";"OWN";33;"Charged Off";"debt_consolidation";14,36;"default_new";"High";"Junior"
1,8;1,8;12;"B";"2 years";"RENT";25;"Charged Off";"other";17,66;"default_new";"Medium";"Junior"
3,2;3,2;9;"B";"n/a";"MORTGAGE";30;"Charged Off";"home_improvement";12,44;"default_new";"Low";"Junior"
11,6;11,6;14;"C";"8 years";"MORTGAGE";35;"Current";"debt_consolidation";23,21;"current_new";"Medium";"Mid-level"
16;16;14;"C";"10+ years";"RENT";62;"Charged Off";"debt_consolidation";29,36;"default_new";"Medium";"Senior"
35;33,5;22;"F";"10+ years";"MORTGAGE";95,3;"Current";"credit_card";14,71;"current_new";"High";"Senior"
11,1;11,1;15;"C";"6 years";"OWN";26;"Charged Off";"credit_card";20,49;"default_new";"Medium";"Mid-level"
29,1;29,1;20;"E";"10+ years";"RENT";72;"Charged Off";"debt_consolidation";20,23;"default_new";"High";"Senior"
21,6;21,6;17;"D";"10+ years";"MORTGAGE";82;"Charged Off";"debt_consolidation";9,75;"default_new";"Medium";"Senior"
21;21;11;"B";"< 1 year";"RENT";95;"Charged Off";"credit_card";9,84;"default_new";"Medium";"Junior"
17;17;19;"E";"3 years";"RENT";78,05;"Charged Off";"debt_consolidation";16,84;"default_new";"High";"Junior"
20;20;18;"D";"< 1 year";"RENT";102;"Charged Off";"debt_consolidation";9,26;"default_new";"Medium";"Junior"
18,4;18,4;14;"C";"3 years";"MORTGAGE";61,938;"Charged Off";"debt_consolidation";9,01;"default_new";"Medium";"Junior"
5;5;15;"C";"4 years";"RENT";41;"Charged Off";"credit_card";23,47;"default_new";"Medium";"Junior"
16,8;16,8;16;"D";"8 years";"MORTGAGE";55;"Charged Off";"debt_consolidation";20,57;"default_new";"Medium";"Mid-level"
16,55;16,55;14;"C";"7 years";"MORTGAGE";52;"Current";"other";9,88;"current_new";"Medium";"Mid-level"
12;12;11;"B";"10+ years";"MORTGAGE";48;"Current";"debt_consolidation";23,3;"current_new";"Medium";"Senior"
22;22;14;"C";"10+ years";"MORTGAGE";85,5;"Charged Off";"credit_card";27,9;"default_new";"Medium";"Senior"
10,8;10,8;7;"A";"10+ years";"RENT";75;"Charged Off";"debt_consolidation";16,59;"default_new";"Low";"Senior"
5;5;15;"C";"1 year";"RENT";35;"Charged Off";"moving";2,43;"default_new";"Medium";"Junior"
25;25;18;"E";"10+ years";"RENT";50;"Charged Off";"small_business";5,81;"default_new";"Medium";"Senior"
14;14;14;"C";"10+ years";"MORTGAGE";78;"Charged Off";"debt_consolidation";25,97;"default_new";"Medium";"Senior"
15;15;10;"B";"10+ years";"MORTGAGE";64,8;"Current";"car";26,61;"current_new";"Low";"Senior"
15;15;22;"G";"10+ years";"MORTGAGE";70;"Current";"debt_consolidation";22,32;"current_new";"High";"Senior"
12;12;20;"E";"5 years";"MORTGAGE";48;"Charged Off";"home_improvement";14,65;"default_new";"High";"Mid-level"
35;33,5;23;"G";"10+ years";"RENT";81,5;"Charged Off";"debt_consolidation";21,92;"default_new";"High";"Senior"
20;20;17;"D";"10+ years";"RENT";56,508;"Charged Off";"credit_card";23,08;"default_new";"Medium";"Senior"
12,3;12,3;19;"E";"6 years";"MORTGAGE";41;"Current";"credit_card";24,91;"current_new";"High";"Mid-level"
3,65;3,65;17;"D";"4 years";"RENT";29;"Current";"debt_consolidation";12,5;"current_new";"Medium";"Junior"
12;12;14;"C";"< 1 year";"RENT";136,5;"Charged Off";"credit_card";13,71;"default_new";"Medium";"Junior"
13;13;15;"C";"4 years";"MORTGAGE";85;"Current";"debt_consolidation";8,27;"current_new";"Medium";"Junior"
20;20;13;"C";"3 years";"MORTGAGE";55;"Charged Off";"credit_card";20,62;"default_new";"Medium";"Junior"
35;33,5;22;"F";"10+ years";"RENT";136,5;"Charged Off";"credit_card";12,95;"default_new";"High";"Senior"
14;14;13;"C";"1 year";"RENT";33,936;"Current";"debt_consolidation";19,77;"current_new";"Medium";"Junior"
22;22;11;"B";"10+ years";"MORTGAGE";70;"Charged Off";"debt_consolidation";18,45;"default_new";"Medium";"Senior"
2,4;2,4;12;"B";"5 years";"OWN";48;"Charged Off";"vacation";15,28;"default_new";"Medium";"Mid-level"
7,5;7,5;7;"A";"5 years";"RENT";34;"Charged Off";"debt_consolidation";29,29;"default_new";"Low";"Mid-level"
21;21;12;"B";"10+ years";"MORTGAGE";70;"Current";"small_business";7,35;"current_new";"Medium";"Senior"
24;24;19;"E";"10+ years";"RENT";98;"Current";"credit_card";23,74;"current_new";"High";"Senior"
19,075;19,075;20;"E";"2 years";"RENT";50;"Current";"debt_consolidation";22,75;"current_new";"High";"Junior"
18,8;18,8;18;"D";"1 year";"RENT";46;"Charged Off";"credit_card";16,15;"default_new";"Medium";"Junior"
15;15;15;"C";"10+ years";"RENT";29;"Current";"credit_card";11,88;"current_new";"Medium";"Senior"
20,2;20,2;21;"F";"10+ years";"RENT";59,67;"Charged Off";"debt_consolidation";16,87;"default_new";"High";"Senior"
20;20;14;"C";"10+ years";"RENT";95;"Charged Off";"debt_consolidation";14,69;"default_new";"Medium";"Senior"
25,975;25,975;22;"F";"10+ years";"MORTGAGE";66;"Current";"credit_card";24,85;"current_new";"High";"Senior"
5;5;9;"B";"5 years";"MORTGAGE";98,58;"Current";"other";15,41;"current_new";"Low";"Mid-level"
7,5;7,5;16;"D";"5 years";"OWN";67;"Charged Off";"home_improvement";16,67;"default_new";"Medium";"Mid-level"
21;21;19;"E";"1 year";"MORTGAGE";42;"Charged Off";"small_business";11,26;"default_new";"High";"Junior"
19,425;19,425;20;"F";"10+ years";"MORTGAGE";46,5;"Charged Off";"debt_consolidation";21,19;"default_new";"High";"Senior"
30;30;21;"F";"6 years";"MORTGAGE";100;"Charged Off";"debt_consolidation";1,19;"default_new";"High";"Mid-level"
15,6;15,6;14;"C";"5 years";"OWN";48,575;"Charged Off";"debt_consolidation";22,33;"default_new";"Medium";"Mid-level"
8;8;14;"C";"10+ years";"RENT";72;"Charged Off";"debt_consolidation";22,28;"default_new";"Medium";"Senior"
15;15;13;"C";"3 years";"MORTGAGE";38;"Current";"debt_consolidation";11,4;"current_new";"Medium";"Junior"
8;8;17;"D";"n/a";"RENT";36;"Charged Off";"debt_consolidation";21,2;"default_new";"Medium";"Junior"
28;28;18;"D";"1 year";"MORTGAGE";136,5;"Current";"debt_consolidation";10,84;"current_new";"Medium";"Junior"
18;18;15;"C";"8 years";"RENT";50;"Charged Off";"credit_card";22,08;"default_new";"Medium";"Mid-level"
30;30;23;"G";"3 years";"RENT";110;"Charged Off";"debt_consolidation";8,54;"default_new";"High";"Junior"
15;15;20;"F";"10+ years";"RENT";59;"Current";"debt_consolidation";11,33;"current_new";"High";"Senior"
8,875;8,875;8;"A";"2 years";"RENT";23;"Charged Off";"debt_consolidation";18,16;"default_new";"Low";"Junior"
30;30;18;"E";"10+ years";"OWN";61;"Charged Off";"debt_consolidation";23;"default_new";"Medium";"Senior"
